well,trial,intercept,slope
A1,T1,0.0424457142857143,2.8512183468705183
A2,T1,0.04088571428571429,0.30100334448160543
A3,T1,0.040651428571428595,0.9540372670807415
A4,T1,0.04012571428571429,0.20468227424748844
A5,T1,0.04138857142857144,0.4747252747252718
A6,T1,0.04047428571428571,0.3858576206402284
A7,T1,0.04127714285714287,0.12097467749641355
A8,T1,0.04227428571428573,0.7957955088389843
A9,T1,0.041074285714285716,0.31705685618729057
A10,T1,0.04152000000000001,0.49651218346870296
A11,T1,0.040942857142857135,0.051600573339703554
A12,T1,0.04344571428571428,2.7308170090778785
B1,T1,0.0407657142857143,0.16282847587195226
B2,T1,0.04068857142857144,0.08772097467749367
B3,T1,0.04057714285714285,0.2442427138079298
B4,T1,0.04001714285714286,0.2969899665551828
B5,T1,0.0410514285714286,0.976970855231719
B6,T1,0.040334285714285725,0.05504061156234822
B7,T1,0.04250857142857143,1.5359770664118468
B8,T1,0.04074857142857142,0.18117534639273875
B9,T1,0.041217142857142855,0.7699952221691337
B10,T1,0.04062857142857143,0.11753463927376911
B11,T1,0.040819999999999995,0.1381748686096521
B12,T1,0.04050285714285714,0.4403248924988048
C1,T1,0.04054,0.5916865742952683
C2,T1,0.040982857142857154,0.012613473483035613
C3,T1,0.04177428571428573,1.263067367415191
C4,T1,0.04109142857142857,0.5939799331103648
C5,T1,0.040817142857142844,0.12212135690396653
C6,T1,0.04085142857142857,0.6358337314859054
C7,T1,0.04197142857142859,0.3325370281891993
C8,T1,0.04082857142857145,0.1863354037267053
C9,T1,0.041508571428571436,0.9139034878165289
C10,T1,0.040991428571428574,0.12097467749641393
C11,T1,0.04179428571428571,1.0400382226469183
C12,T1,0.04030285714285715,0.1737219302436669
D1,T1,0.041277142857142866,0.2929765886287614
D2,T1,0.040885714285714296,0.034400382226466956
D3,T1,0.040717142857142855,0.16225513616818046
D4,T1,0.04073142857142857,0.08485427615862294
D5,T1,0.04084857142857143,0.7774486383182029
D6,T1,0.04012285714285717,0.1628284758719505
D7,T1,0.04177428571428571,0.13932154801720084
D8,T1,0.04187428571428572,0.4059245102723349
D9,T1,0.04123428571428573,0.1439082656473925
D10,T1,0.04422285714285714,0.1857620640229339
D11,T1,0.041725714285714297,0.4168179646440495
D12,T1,0.04155142857142858,0.6501672240802654
E1,T1,0.042508571428571444,0.9712374581939767
E2,T1,0.04226571428571429,0.20296225513616736
E3,T1,0.04242857142857145,0.08600095556616913
E4,T1,0.04073714285714289,0.05389393215479602
E5,T1,0.041548571428571435,0.04357381748685831
E6,T1,0.040737142857142875,1.0773053033922566
E7,T1,0.041534285714285725,0.03210702341136734
E8,T1,0.0412,0.22646918299092123
E9,T1,0.04113714285714287,0.6931677018633519
E10,T1,0.04062285714285719,0.06822742474915622
E11,T1,0.04165714285714288,1.7400860009555632
E12,T1,0.04102571428571429,0.5429526994744373
F1,T1,0.04257714285714287,0.5280458671763
F2,T1,0.045217142857142886,1.3347348303870006
F3,T1,0.04311142857142858,0.7235547061634
F4,T1,0.04295714285714289,0.4357381748686043
F5,T1,0.044294285714285724,0.7075011944577159
F6,T1,0.041934285714285736,0.25570950788341723
F7,T1,0.04116571428571429,0.48963210702340915
F8,T1,0.04167142857142859,0.47013855709507685
F9,T1,0.04124000000000001,0.4168179646440495
F10,T1,0.04083142857142856,0.22532250358337375
F11,T1,0.0408657142857143,0.3176301958910646
F12,T1,0.04026285714285714,1.2189202102245569
G1,T1,0.042320000000000024,2.769804108934541
G2,T1,0.04169714285714288,0.3766841853798343
G3,T1,0.04190571428571429,1.0698518872431906
G4,T1,0.06825428571428574,-0.0361204013377983
G5,T1,0.04240857142857143,0.5813664596273288
G6,T1,0.04192285714285713,1.3324414715719073
G7,T1,0.04503428571428572,0.519445771619683
G8,T1,0.041491428571428575,0.8491161012900124
G9,T1,0.04150285714285714,0.22245580506450066
G10,T1,0.041465714285714314,0.11409460105111847
G11,T1,0.042360000000000016,1.0222646918299076
G12,T1,0.0408657142857143,0.4752986144290469
H1,T1,0.042305714285714294,2.2996655518394635
H2,T1,0.04236285714285716,0.35031055900620695
H3,T1,0.04256857142857144,0.9270903010033419
H4,T1,0.040034285714285724,0.7258480649784982
H5,T1,0.04224571428571432,0.13645484949832207
H6,T1,0.041577142857142854,0.3732441471571905
H7,T1,0.04142285714285714,0.12556139512661135
H8,T1,0.04136857142857143,0.15308170090778592
H9,T1,0.041380000000000014,0.27749641662684954
H10,T1,0.04220857142857145,1.685045389393212
H11,T1,0.04113714285714288,0.17429526994744002
H12,T1,0.041499999999999995,2.0181557572861912
A1,T2,0.042154285714285714,3.071380793119925
A2,T2,0.04038,0.374964166268513
A3,T2,0.04079428571428573,1.0515050167224052
A4,T2,0.04191428571428575,-0.28666985188724886
A5,T2,0.04118857142857143,0.44319159101767686
A6,T2,0.04050857142857145,0.34916387959865897
